Price,Close,High,Low,Open,Volume
Ticker,NQ=F,NQ=F,NQ=F,NQ=F,NQ=F
Datetime,,,,,
2025-05-30 05:00:00+00:00,21387.25,21412.25,21347.75,21349.75,5165
2025-05-30 06:00:00+00:00,21336.25,21398.0,21333.75,21386.5,5509
2025-05-30 07:00:00+00:00,21363.0,21382.5,21318.25,21336.25,6965
2025-05-30 08:00:00+00:00,21359.75,21395.0,21352.75,21362.5,5663
2025-05-30 09:00:00+00:00,21363.25,21392.25,21357.25,21359.5,4312
2025-05-30 10:00:00+00:00,21384.5,21390.0,21349.5,21363.5,4321
2025-05-30 11:00:00+00:00,21387.5,21421.0,21376.5,21384.25,5647
2025-05-30 12:00:00+00:00,21335.0,21420.0,21226.25,21388.5,29781
2025-05-30 13:00:00+00:00,21257.5,21390.5,21234.75,21338.0,59966
2025-05-30 14:00:00+00:00,21354.5,21399.5,21254.0,21257.25,61106
2025-05-30 15:00:00+00:00,21323.5,21378.75,21288.25,21356.5,49716
2025-05-30 16:00:00+00:00,21109.0,21337.0,21071.5,21323.75,79837
2025-05-30 17:00:00+00:00,21176.0,21214.75,21089.0,21109.25,48107
2025-05-30 18:00:00+00:00,21300.75,21307.25,21174.75,21176.5,44856
2025-05-30 19:00:00+00:00,21369.25,21433.5,21295.75,21300.5,78383
2025-05-30 20:00:00+00:00,21376.75,21406.0,21330.0,21369.75,21790
2025-06-01 22:00:00+00:00,21313.75,21348.5,21295.25,21303.75,5238
2025-06-01 23:00:00+00:00,21304.75,21315.0,21277.0,21314.0,4853
2025-06-02 00:00:00+00:00,21294.0,21326.0,21285.0,21304.75,4710
2025-06-02 01:00:00+00:00,21277.75,21313.5,21267.25,21294.5,4277
2025-06-02 02:00:00+00:00,21265.25,21284.75,21256.25,21279.5,4167
2025-06-02 03:00:00+00:00,21236.25,21265.0,21226.75,21264.0,4912
2025-06-02 04:00:00+00:00,21236.0,21254.5,21218.75,21231.5,2857
2025-06-02 05:00:00+00:00,21230.25,21250.75,21213.75,21236.25,3465
2025-06-02 06:00:00+00:00,21228.5,21248.5,21198.0,21230.25,5456
2025-06-02 07:00:00+00:00,21211.5,21267.5,21163.25,21227.5,10965
2025-06-02 08:00:00+00:00,21235.75,21263.5,21206.5,21210.75,7449
2025-06-02 09:00:00+00:00,21226.0,21242.5,21201.25,21234.0,6528
2025-06-02 10:00:00+00:00,21250.25,21253.5,21214.25,21225.25,5941
2025-06-02 11:00:00+00:00,21255.25,21291.5,21238.75,21250.25,7132
2025-06-02 12:00:00+00:00,21284.75,21294.5,21239.75,21256.0,9972
2025-06-02 13:00:00+00:00,21317.25,21458.0,21257.75,21285.0,66237
2025-06-02 14:00:00+00:00,21397.25,21418.75,21235.0,21311.0,72715
2025-06-02 15:00:00+00:00,21434.25,21444.75,21355.25,21396.75,45806
2025-06-02 16:00:00+00:00,21445.5,21454.5,21401.25,21434.0,29424
2025-06-02 17:00:00+00:00,21445.5,21474.25,21425.25,21445.75,28590
2025-06-02 18:00:00+00:00,21517.75,21525.75,21426.75,21445.5,37263
2025-06-02 19:00:00+00:00,21534.0,21543.75,21495.25,21517.75,43390
2025-06-02 20:00:00+00:00,21554.5,21576.25,21527.75,21534.25,17281
2025-06-02 22:00:00+00:00,21519.5,21555.25,21515.0,21555.0,0
2025-06-02 23:00:00+00:00,21494.25,21544.25,21465.75,21518.75,8181
2025-06-03 00:00:00+00:00,21483.5,21502.5,21474.0,21495.0,3306
2025-06-03 01:00:00+00:00,21487.25,21500.0,21476.5,21483.75,3482
2025-06-03 02:00:00+00:00,21468.25,21490.25,21445.25,21488.25,4741
2025-06-03 03:00:00+00:00,21460.5,21467.75,21437.0,21467.0,3447
2025-06-03 04:00:00+00:00,21453.75,21460.25,21444.75,21456.5,1910
